osmid,x,y
9404375078,2.815374,36.6952112
9404375074,2.8155,36.6948004
3172322175,2.8155095,36.6704541
4757157989,2.8155398,36.6956198
9404375076,2.8155483,36.695073
9404375072,2.8156207,36.6946864
9404375082,2.8156262,36.6953908
9403194250,2.8156492,36.695525
9403194176,2.8156771,36.6923325
9403194187,2.8156851,36.6913216
9403194178,2.8157736,36.69107
9404375077,2.8157898,36.6952373
9404375075,2.8159388,36.6950976
4757158075,2.8159713,36.6965531
9404375073,2.81605,36.6949934
9403194248,2.8161647,36.6948858
9403194180,2.8162725,36.6906011
9403194247,2.8163707,36.6948933
1118900253,2.8166798,36.696816
1118900249,2.8167384,36.6968646
9403194182,2.8167446,36.687534
1118900218,2.8167942,36.6945003
9404375057,2.8168265,36.6966882
9404375062,2.8168864,36.696732
4757157998,2.8169134,36.6966125
9404375060,2.8169844,36.6966443
3655933087,2.8171179,36.6926291
1118900322,2.8172967,36.6973141
975646019,2.8173498,36.6973569
1118900255,2.8173992,36.6961889
1118900245,2.8174554,36.6962336
9404375063,2.8174699,36.6971576
1118900332,2.8175116,36.697757
9404375061,2.8175686,36.6970671
4757157988,2.8176078,36.6971213
1118900272,2.8180312,36.6966538
1118900217,2.8180806,36.6933758
10764642631,2.8180895,36.6427779
1118900271,2.8180941,36.6966978
9404367306,2.8181162,36.6969988
4325259125,2.8181308,36.6933308
1118900257,2.8181657,36.6955157
1118900244,2.8182324,36.6955618
9404367305,2.8182678,36.6971132
1118900270,2.8182895,36.6968374
975646030,2.8184407,36.6990094
3172322254,2.8184707,36.6863166
10764642634,2.8184782,36.6432795
283443601,2.8187488,36.6987974
1118900295,2.8188293,36.6959748
1118900268,2.8188477,36.6972362
1118900211,2.8188537,36.6978673
9404367294,2.81887,36.6975672
10772082490,2.8188988,36.6437324
1118900294,2.8189006,36.6960241
1118900201,2.8189526,36.6948291
975646101,2.8190026,36.6992702
1118900202,2.819021,36.6948798
10772082488,2.8190446,36.6438329
9404367307,2.8190451,36.6977003
975646215,2.8190629,36.69955
4757158117,2.8190669,36.6984167
10764642619,2.8191326,36.6423165
1118900209,2.8192524,36.6975195
10587704535,2.8192544,36.6990822
10772082486,2.819312,36.6428325
288135458,2.8193677,36.6998707
10772082491,2.8193879,36.6437167
1118900262,2.8194625,36.6943774
1118900263,2.8195124,36.6943274
975646106,2.8195146,36.6990386
1118900242,2.8195388,36.6944328
6498975158,2.8195434,36.6984076
10764642621,2.8195654,36.6421984
1118900241,2.8195895,36.694383
1118900204,2.8196064,36.6953141
1118900293,2.8196294,36.6965519
975646096,2.8196658,36.6992937
1118900205,2.8196752,36.6953651
10764642629,2.8197335,36.6426226
975645998,2.8197797,36.6999443
9404367275,2.8199007,36.6963061
10774407359,2.8199026,36.6432655
1118900267,2.8199831,36.698065
1118900207,2.8200273,36.696846
1118900307,2.8201141,36.6948522
9404367278,2.8201292,36.6963647
975646000,2.8201525,36.6998516
1118900324,2.8201698,36.6948016
1118900309,2.820187,36.6949048
1118900319,2.8202439,36.6948536
9404367293,2.8202714,36.6970253
1118900179,2.8203231,36.6947041
975646115,2.8203703,36.7009455
1118900206,2.8203751,36.6958844
3172322204,2.8205145,36.6767014
9404367277,2.8206077,36.6967167
9404367288,2.8208987,36.6963483
1118900301,2.8209053,36.6954244
9404375040,2.8209615,36.6953727
1118900290,2.8209929,36.6975621
1118900171,2.8212267,36.6942377
9404367271,2.8213727,36.695951
11155941797,2.8214055,36.6917509
975646114,2.8214572,36.6997567
975646188,2.8214927,36.7022497
1118900177,2.8216367,36.6935422
975646194,2.8217409,36.7025587
9354695658,2.821791,36.6418303
283448840,2.8218218,36.6998589
1118900172,2.8218417,36.6936919
975646191,2.821849,36.7022455
6498975155,2.8219002,36.6990956
9404775233,2.8219436,36.695752
11155941785,2.8220704,36.6925369
10887326387,2.8220713,36.7120538
9404775226,2.822076,36.6961767
6343705243,2.8221004,36.7114361
975646086,2.8221096,36.7000625
10887318023,2.8222378,36.6962934
10887317755,2.822274,36.6964176
9404775225,2.8222758,36.6959949
6498975153,2.8223257,36.6984739
9404375020,2.822337,36.6920034
975646220,2.822447,36.6996672
1118900191,2.8224511,36.6931512
4325259111,2.8224636,36.6926723
1118900314,2.8224802,36.6965263
1118900188,2.8225457,36.6952088
10887326729,2.8225596,36.7112416
6343705249,2.8226435,36.7110209
975646224,2.8226709,36.7000237
9404774115,2.8226877,36.6966838
6498975154,2.8226939,36.6986817
1118900337,2.8227969,36.6967594
2712291678,2.8229348,36.7000749
10887326582,2.823017,36.7113882
9404774112,2.8231041,36.6959671
10887318203,2.8231051,36.6975691
10887326516,2.8231211,36.7111259
975646186,2.8231323,36.6987203
10887326615,2.8231493,36.7123547
9404775235,2.8231603,36.694663
9404775255,2.8231806,36.695737
9404774109,2.8232325,36.6958575
9404774116,2.8232396,36.6956768
3172320749,2.8232587,36.6777331
9404774111,2.8233331,36.696138
9404774106,2.8233425,36.6957635
3172322257,2.8233502,36.6768985
2712291682,2.8234256,36.6991826
10887326423,2.8234473,36.7115522
9404774108,2.8234593,36.6960256
9404774103,2.8234709,36.6956539
975646230,2.8234798,36.7137454
10887326536,2.8234926,36.7112028
9404774113,2.8235427,36.696294
6343705240,2.8235615,36.7115957
6343705239,2.8235645,36.7123461
9404774105,2.8235717,36.6959255
9404774100,2.8235826,36.6955585
9404774110,2.8236913,36.6961986
9404774102,2.8236955,36.6958153
9404774098,2.8237099,36.6954498
1118900227,2.8237114,36.6926488
10887326344,2.8237137,36.7112589
1118900185,2.8237847,36.6941285
9404774099,2.8238076,36.6957155
9404774087,2.8238256,36.695351
9404775234,2.8238287,36.6951574
9404774107,2.8238298,36.6961097
1118900141,2.8238379,36.6978829
9404775222,2.8238787,36.6940931
9404774086,2.823927,36.6956092
9404774104,2.8239594,36.6960065
975646172,2.8239811,36.6923176
9404775242,2.8240049,36.6925485
9404774114,2.8240408,36.6955078
9404774101,2.8240818,36.6959091
975646180,2.8241583,36.6971025
975648111,2.824172,36.6940623
1118900125,2.8241882,36.697496
975648077,2.8242578,36.6951238
10887310357,2.8242921,36.6955005
975646029,2.8243345,36.6959655
2712291674,2.8243681,36.6935784
3180348283,2.8244414,36.6883171
3172320718,2.8244574,36.6776393
2712291677,2.8245815,36.6931155
975646160,2.8246517,36.6915612
2990923895,2.8247657,36.6999715
